radio_id,edad_cod,edad_label,sexo_cod,sexo_label,personas
63570101,1,00 a 04,1,Mujer/Femenino,23
63570101,1,00 a 04,2,Varón/Masculino,23
63570101,2,05 a 09,1,Mujer/Femenino,24
63570101,2,05 a 09,2,Varón/Masculino,43
63570101,3,10 a 14,1,Mujer/Femenino,36
63570101,3,10 a 14,2,Varón/Masculino,39
63570101,4,15 a 19,1,Mujer/Femenino,30
63570101,4,15 a 19,2,Varón/Masculino,47
63570101,5,20 a 24,1,Mujer/Femenino,31
63570101,5,20 a 24,2,Varón/Masculino,43
63570101,6,25 a 29,1,Mujer/Femenino,38
63570101,6,25 a 29,2,Varón/Masculino,37
63570101,7,30 a 34,1,Mujer/Femenino,33
63570101,7,30 a 34,2,Varón/Masculino,54
63570101,8,35 a 39,1,Mujer/Femenino,36
63570101,8,35 a 39,2,Varón/Masculino,40
63570101,9,40 a 44,1,Mujer/Femenino,36
63570101,9,40 a 44,2,Varón/Masculino,23
63570101,10,45 a 49,1,Mujer/Femenino,26
63570101,10,45 a 49,2,Varón/Masculino,22
63570101,11,50 a 54,1,Mujer/Femenino,25
63570101,11,50 a 54,2,Varón/Masculino,31
63570101,12,55 a 59,1,Mujer/Femenino,31
63570101,12,55 a 59,2,Varón/Masculino,21
63570101,13,60 a 64,1,Mujer/Femenino,28
63570101,13,60 a 64,2,Varón/Masculino,29
63570101,14,65 a 69,1,Mujer/Femenino,22
63570101,14,65 a 69,2,Varón/Masculino,18
63570101,15,70 a 74,1,Mujer/Femenino,22
63570101,15,70 a 74,2,Varón/Masculino,11
63570101,16,75 a 79,1,Mujer/Femenino,12
63570101,16,75 a 79,2,Varón/Masculino,12
63570101,17,80 a 84,1,Mujer/Femenino,13
63570101,17,80 a 84,2,Varón/Masculino,7
63570101,18,85 a 89,1,Mujer/Femenino,3
63570101,18,85 a 89,2,Varón/Masculino,3
63570101,19,90 a 94,2,Varón/Masculino,1
63570101,20,95 a 99,1,Mujer/Femenino,1
63570102,1,00 a 04,1,Mujer/Femenino,34
63570102,1,00 a 04,2,Varón/Masculino,33
63570102,2,05 a 09,1,Mujer/Femenino,35
63570102,2,05 a 09,2,Varón/Masculino,41
63570102,3,10 a 14,1,Mujer/Femenino,37
63570102,3,10 a 14,2,Varón/Masculino,38
63570102,4,15 a 19,1,Mujer/Femenino,39
63570102,4,15 a 19,2,Varón/Masculino,39
63570102,5,20 a 24,1,Mujer/Femenino,36
63570102,5,20 a 24,2,Varón/Masculino,41
63570102,6,25 a 29,1,Mujer/Femenino,37
63570102,6,25 a 29,2,Varón/Masculino,34
63570102,7,30 a 34,1,Mujer/Femenino,45
63570102,7,30 a 34,2,Varón/Masculino,48
63570102,8,35 a 39,1,Mujer/Femenino,38
63570102,8,35 a 39,2,Varón/Masculino,43
63570102,9,40 a 44,1,Mujer/Femenino,40
63570102,9,40 a 44,2,Varón/Masculino,37
63570102,10,45 a 49,1,Mujer/Femenino,35
63570102,10,45 a 49,2,Varón/Masculino,31
63570102,11,50 a 54,1,Mujer/Femenino,36
63570102,11,50 a 54,2,Varón/Masculino,31
63570102,12,55 a 59,1,Mujer/Femenino,29
63570102,12,55 a 59,2,Varón/Masculino,27
63570102,13,60 a 64,1,Mujer/Femenino,34
63570102,13,60 a 64,2,Varón/Masculino,25
63570102,14,65 a 69,1,Mujer/Femenino,28
63570102,14,65 a 69,2,Varón/Masculino,20
63570102,15,70 a 74,1,Mujer/Femenino,23
63570102,15,70 a 74,2,Varón/Masculino,21
63570102,16,75 a 79,1,Mujer/Femenino,26
63570102,16,75 a 79,2,Varón/Masculino,17
63570102,17,80 a 84,1,Mujer/Femenino,10
63570102,17,80 a 84,2,Varón/Masculino,12
63570102,18,85 a 89,1,Mujer/Femenino,9
63570102,18,85 a 89,2,Varón/Masculino,6
63570102,19,90 a 94,2,Varón/Masculino,1
63570102,20,95 a 99,1,Mujer/Femenino,1
63570103,1,00 a 04,1,Mujer/Femenino,37
63570103,1,00 a 04,2,Varón/Masculino,44
63570103,2,05 a 09,1,Mujer/Femenino,46
63570103,2,05 a 09,2,Varón/Masculino,46
63570103,3,10 a 14,1,Mujer/Femenino,47
63570103,3,10 a 14,2,Varón/Masculino,56
63570103,4,15 a 19,1,Mujer/Femenino,55
63570103,4,15 a 19,2,Varón/Masculino,52
63570103,5,20 a 24,1,Mujer/Femenino,58
63570103,5,20 a 24,2,Varón/Masculino,52
63570103,6,25 a 29,1,Mujer/Femenino,47
63570103,6,25 a 29,2,Varón/Masculino,48
63570103,7,30 a 34,1,Mujer/Femenino,50
63570103,7,30 a 34,2,Varón/Masculino,45
63570103,8,35 a 39,1,Mujer/Femenino,42
63570103,8,35 a 39,2,Varón/Masculino,43
63570103,9,40 a 44,1,Mujer/Femenino,47
63570103,9,40 a 44,2,Varón/Masculino,67
63570103,10,45 a 49,1,Mujer/Femenino,51
63570103,10,45 a 49,2,Varón/Masculino,40
63570103,11,50 a 54,1,Mujer/Femenino,47
63570103,11,50 a 54,2,Varón/Masculino,46
63570103,12,55 a 59,1,Mujer/Femenino,33
63570103,12,55 a 59,2,Varón/Masculino,42
63570103,13,60 a 64,1,Mujer/Femenino,27
63570103,13,60 a 64,2,Varón/Masculino,17
63570103,14,65 a 69,1,Mujer/Femenino,29
63570103,14,65 a 69,2,Varón/Masculino,26
63570103,15,70 a 74,1,Mujer/Femenino,29
63570103,15,70 a 74,2,Varón/Masculino,25
63570103,16,75 a 79,1,Mujer/Femenino,24
63570103,16,75 a 79,2,Varón/Masculino,12
63570103,17,80 a 84,1,Mujer/Femenino,8
63570103,17,80 a 84,2,Varón/Masculino,5
63570103,18,85 a 89,1,Mujer/Femenino,2
63570103,18,85 a 89,2,Varón/Masculino,3
63570103,19,90 a 94,1,Mujer/Femenino,3
63570103,20,95 a 99,1,Mujer/Femenino,1
63570104,1,00 a 04,1,Mujer/Femenino,35
63570104,1,00 a 04,2,Varón/Masculino,29
63570104,2,05 a 09,1,Mujer/Femenino,47
63570104,2,05 a 09,2,Varón/Masculino,54
63570104,3,10 a 14,1,Mujer/Femenino,44
63570104,3,10 a 14,2,Varón/Masculino,62
63570104,4,15 a 19,1,Mujer/Femenino,57
63570104,4,15 a 19,2,Varón/Masculino,69
63570104,5,20 a 24,1,Mujer/Femenino,45
63570104,5,20 a 24,2,Varón/Masculino,61
63570104,6,25 a 29,1,Mujer/Femenino,35
63570104,6,25 a 29,2,Varón/Masculino,36
63570104,7,30 a 34,1,Mujer/Femenino,45
63570104,7,30 a 34,2,Varón/Masculino,42
63570104,8,35 a 39,1,Mujer/Femenino,59
63570104,8,35 a 39,2,Varón/Masculino,47
63570104,9,40 a 44,1,Mujer/Femenino,60
63570104,9,40 a 44,2,Varón/Masculino,51
63570104,10,45 a 49,1,Mujer/Femenino,75
63570104,10,45 a 49,2,Varón/Masculino,59
63570104,11,50 a 54,1,Mujer/Femenino,66
63570104,11,50 a 54,2,Varón/Masculino,60
63570104,12,55 a 59,1,Mujer/Femenino,38
63570104,12,55 a 59,2,Varón/Masculino,52
63570104,13,60 a 64,1,Mujer/Femenino,38
63570104,13,60 a 64,2,Varón/Masculino,30
63570104,14,65 a 69,1,Mujer/Femenino,37
63570104,14,65 a 69,2,Varón/Masculino,27
63570104,15,70 a 74,1,Mujer/Femenino,29
63570104,15,70 a 74,2,Varón/Masculino,20
63570104,16,75 a 79,1,Mujer/Femenino,18
63570104,16,75 a 79,2,Varón/Masculino,14
63570104,17,80 a 84,1,Mujer/Femenino,13
63570104,17,80 a 84,2,Varón/Masculino,7
63570104,18,85 a 89,1,Mujer/Femenino,6
63570104,18,85 a 89,2,Varón/Masculino,5
63570104,19,90 a 94,1,Mujer/Femenino,2
63570104,20,95 a 99,1,Mujer/Femenino,1
63570105,1,00 a 04,1,Mujer/Femenino,23
63570105,1,00 a 04,2,Varón/Masculino,18
63570105,2,05 a 09,1,Mujer/Femenino,27
63570105,2,05 a 09,2,Varón/Masculino,40
63570105,3,10 a 14,1,Mujer/Femenino,36
63570105,3,10 a 14,2,Varón/Masculino,32
63570105,4,15 a 19,1,Mujer/Femenino,47
63570105,4,15 a 19,2,Varón/Masculino,42
63570105,5,20 a 24,1,Mujer/Femenino,34
63570105,5,20 a 24,2,Varón/Masculino,49
63570105,6,25 a 29,1,Mujer/Femenino,30
63570105,6,25 a 29,2,Varón/Masculino,19
63570105,7,30 a 34,1,Mujer/Femenino,30
63570105,7,30 a 34,2,Varón/Masculino,41
63570105,8,35 a 39,1,Mujer/Femenino,38
63570105,8,35 a 39,2,Varón/Masculino,39
63570105,9,40 a 44,1,Mujer/Femenino,42
63570105,9,40 a 44,2,Varón/Masculino,43
63570105,10,45 a 49,1,Mujer/Femenino,61
63570105,10,45 a 49,2,Varón/Masculino,39
63570105,11,50 a 54,1,Mujer/Femenino,46
63570105,11,50 a 54,2,Varón/Masculino,41
63570105,12,55 a 59,1,Mujer/Femenino,47
63570105,12,55 a 59,2,Varón/Masculino,41
63570105,13,60 a 64,1,Mujer/Femenino,33
63570105,13,60 a 64,2,Varón/Masculino,33
63570105,14,65 a 69,1,Mujer/Femenino,34
63570105,14,65 a 69,2,Varón/Masculino,26
63570105,15,70 a 74,1,Mujer/Femenino,36
63570105,15,70 a 74,2,Varón/Masculino,21
63570105,16,75 a 79,1,Mujer/Femenino,20
63570105,16,75 a 79,2,Varón/Masculino,13
63570105,17,80 a 84,1,Mujer/Femenino,7
63570105,17,80 a 84,2,Varón/Masculino,9
63570105,18,85 a 89,1,Mujer/Femenino,7
63570105,18,85 a 89,2,Varón/Masculino,4
63570105,19,90 a 94,1,Mujer/Femenino,4
63570105,20,95 a 99,1,Mujer/Femenino,2
63570106,1,00 a 04,1,Mujer/Femenino,5
63570106,1,00 a 04,2,Varón/Masculino,17
63570106,2,05 a 09,1,Mujer/Femenino,27
63570106,2,05 a 09,2,Varón/Masculino,23
63570106,3,10 a 14,1,Mujer/Femenino,27
63570106,3,10 a 14,2,Varón/Masculino,29
63570106,4,15 a 19,1,Mujer/Femenino,29
63570106,4,15 a 19,2,Varón/Masculino,21
63570106,5,20 a 24,1,Mujer/Femenino,21
63570106,5,20 a 24,2,Varón/Masculino,31
63570106,6,25 a 29,1,Mujer/Femenino,16
63570106,6,25 a 29,2,Varón/Masculino,17
63570106,7,30 a 34,1,Mujer/Femenino,23
63570106,7,30 a 34,2,Varón/Masculino,17
63570106,8,35 a 39,1,Mujer/Femenino,29
63570106,8,35 a 39,2,Varón/Masculino,25
63570106,9,40 a 44,1,Mujer/Femenino,38
63570106,9,40 a 44,2,Varón/Masculino,28
63570106,10,45 a 49,1,Mujer/Femenino,35
63570106,10,45 a 49,2,Varón/Masculino,32
63570106,11,50 a 54,1,Mujer/Femenino,28
63570106,11,50 a 54,2,Varón/Masculino,20
63570106,12,55 a 59,1,Mujer/Femenino,30
63570106,12,55 a 59,2,Varón/Masculino,20
63570106,13,60 a 64,1,Mujer/Femenino,19
63570106,13,60 a 64,2,Varón/Masculino,22
63570106,14,65 a 69,1,Mujer/Femenino,32
63570106,14,65 a 69,2,Varón/Masculino,25
63570106,15,70 a 74,1,Mujer/Femenino,29
63570106,15,70 a 74,2,Varón/Masculino,24
63570106,16,75 a 79,1,Mujer/Femenino,14
63570106,16,75 a 79,2,Varón/Masculino,14
63570106,17,80 a 84,1,Mujer/Femenino,7
63570106,17,80 a 84,2,Varón/Masculino,4
63570106,18,85 a 89,1,Mujer/Femenino,6
63570106,18,85 a 89,2,Varón/Masculino,2
63570106,19,90 a 94,1,Mujer/Femenino,4
63570106,19,90 a 94,2,Varón/Masculino,2
63570107,1,00 a 04,1,Mujer/Femenino,12
63570107,1,00 a 04,2,Varón/Masculino,17
63570107,2,05 a 09,1,Mujer/Femenino,19
63570107,2,05 a 09,2,Varón/Masculino,22
63570107,3,10 a 14,1,Mujer/Femenino,26
63570107,3,10 a 14,2,Varón/Masculino,25
63570107,4,15 a 19,1,Mujer/Femenino,25
63570107,4,15 a 19,2,Varón/Masculino,16
63570107,5,20 a 24,1,Mujer/Femenino,22
63570107,5,20 a 24,2,Varón/Masculino,14
63570107,6,25 a 29,1,Mujer/Femenino,18
63570107,6,25 a 29,2,Varón/Masculino,23
63570107,7,30 a 34,1,Mujer/Femenino,23
63570107,7,30 a 34,2,Varón/Masculino,24
63570107,8,35 a 39,1,Mujer/Femenino,22
63570107,8,35 a 39,2,Varón/Masculino,23
63570107,9,40 a 44,1,Mujer/Femenino,34
63570107,9,40 a 44,2,Varón/Masculino,31
63570107,10,45 a 49,1,Mujer/Femenino,25
63570107,10,45 a 49,2,Varón/Masculino,19
63570107,11,50 a 54,1,Mujer/Femenino,13
63570107,11,50 a 54,2,Varón/Masculino,8
63570107,12,55 a 59,1,Mujer/Femenino,16
63570107,12,55 a 59,2,Varón/Masculino,12
63570107,13,60 a 64,1,Mujer/Femenino,17
63570107,13,60 a 64,2,Varón/Masculino,11
63570107,14,65 a 69,1,Mujer/Femenino,27
63570107,14,65 a 69,2,Varón/Masculino,22
63570107,15,70 a 74,1,Mujer/Femenino,22
63570107,15,70 a 74,2,Varón/Masculino,18
63570107,16,75 a 79,1,Mujer/Femenino,19
63570107,16,75 a 79,2,Varón/Masculino,3
63570107,17,80 a 84,1,Mujer/Femenino,11
63570107,17,80 a 84,2,Varón/Masculino,1
63570107,18,85 a 89,1,Mujer/Femenino,5
63570107,18,85 a 89,2,Varón/Masculino,1
63570107,19,90 a 94,1,Mujer/Femenino,2
63570107,20,95 a 99,1,Mujer/Femenino,3
63570108,1,00 a 04,1,Mujer/Femenino,23
63570108,1,00 a 04,2,Varón/Masculino,14
63570108,2,05 a 09,1,Mujer/Femenino,36
63570108,2,05 a 09,2,Varón/Masculino,39
63570108,3,10 a 14,1,Mujer/Femenino,47
63570108,3,10 a 14,2,Varón/Masculino,32
63570108,4,15 a 19,1,Mujer/Femenino,42
63570108,4,15 a 19,2,Varón/Masculino,40
63570108,5,20 a 24,1,Mujer/Femenino,35
63570108,5,20 a 24,2,Varón/Masculino,40
63570108,6,25 a 29,1,Mujer/Femenino,34
63570108,6,25 a 29,2,Varón/Masculino,37
63570108,7,30 a 34,1,Mujer/Femenino,24
63570108,7,30 a 34,2,Varón/Masculino,27
63570108,8,35 a 39,1,Mujer/Femenino,33
63570108,8,35 a 39,2,Varón/Masculino,29
63570108,9,40 a 44,1,Mujer/Femenino,45
63570108,9,40 a 44,2,Varón/Masculino,43
63570108,10,45 a 49,1,Mujer/Femenino,56
63570108,10,45 a 49,2,Varón/Masculino,46
63570108,11,50 a 54,1,Mujer/Femenino,55
63570108,11,50 a 54,2,Varón/Masculino,55
63570108,12,55 a 59,1,Mujer/Femenino,48
63570108,12,55 a 59,2,Varón/Masculino,39
63570108,13,60 a 64,1,Mujer/Femenino,40
63570108,13,60 a 64,2,Varón/Masculino,32
63570108,14,65 a 69,1,Mujer/Femenino,28
63570108,14,65 a 69,2,Varón/Masculino,31
63570108,15,70 a 74,1,Mujer/Femenino,35
63570108,15,70 a 74,2,Varón/Masculino,30
63570108,16,75 a 79,1,Mujer/Femenino,14
63570108,16,75 a 79,2,Varón/Masculino,18
63570108,17,80 a 84,1,Mujer/Femenino,13
63570108,17,80 a 84,2,Varón/Masculino,8
63570108,18,85 a 89,1,Mujer/Femenino,10
63570108,18,85 a 89,2,Varón/Masculino,3
63570108,19,90 a 94,1,Mujer/Femenino,5
63570108,19,90 a 94,2,Varón/Masculino,5
63570108,20,95 a 99,1,Mujer/Femenino,2
63570109,1,00 a 04,1,Mujer/Femenino,16
63570109,1,00 a 04,2,Varón/Masculino,26
63570109,2,05 a 09,1,Mujer/Femenino,25
63570109,2,05 a 09,2,Varón/Masculino,27
63570109,3,10 a 14,1,Mujer/Femenino,34
63570109,3,10 a 14,2,Varón/Masculino,32
63570109,4,15 a 19,1,Mujer/Femenino,45
63570109,4,15 a 19,2,Varón/Masculino,28
63570109,5,20 a 24,1,Mujer/Femenino,35
63570109,5,20 a 24,2,Varón/Masculino,42
63570109,6,25 a 29,1,Mujer/Femenino,20
63570109,6,25 a 29,2,Varón/Masculino,28
63570109,7,30 a 34,1,Mujer/Femenino,26
63570109,7,30 a 34,2,Varón/Masculino,24
63570109,8,35 a 39,1,Mujer/Femenino,28
63570109,8,35 a 39,2,Varón/Masculino,35
63570109,9,40 a 44,1,Mujer/Femenino,26
63570109,9,40 a 44,2,Varón/Masculino,24
63570109,10,45 a 49,1,Mujer/Femenino,36
63570109,10,45 a 49,2,Varón/Masculino,47
63570109,11,50 a 54,1,Mujer/Femenino,52
63570109,11,50 a 54,2,Varón/Masculino,35
63570109,12,55 a 59,1,Mujer/Femenino,27
63570109,12,55 a 59,2,Varón/Masculino,34
63570109,13,60 a 64,1,Mujer/Femenino,24
63570109,13,60 a 64,2,Varón/Masculino,17
63570109,14,65 a 69,1,Mujer/Femenino,24
63570109,14,65 a 69,2,Varón/Masculino,23
63570109,15,70 a 74,1,Mujer/Femenino,16
63570109,15,70 a 74,2,Varón/Masculino,24
63570109,16,75 a 79,1,Mujer/Femenino,11
63570109,16,75 a 79,2,Varón/Masculino,5
63570109,17,80 a 84,1,Mujer/Femenino,12
63570109,17,80 a 84,2,Varón/Masculino,2
63570109,18,85 a 89,1,Mujer/Femenino,1
63570109,18,85 a 89,2,Varón/Masculino,5
63570109,19,90 a 94,2,Varón/Masculino,1
63570109,20,95 a 99,1,Mujer/Femenino,2
63570201,1,00 a 04,1,Mujer/Femenino,32
63570201,1,00 a 04,2,Varón/Masculino,28
63570201,2,05 a 09,1,Mujer/Femenino,29
63570201,2,05 a 09,2,Varón/Masculino,42
63570201,3,10 a 14,1,Mujer/Femenino,37
63570201,3,10 a 14,2,Varón/Masculino,46
63570201,4,15 a 19,1,Mujer/Femenino,41
63570201,4,15 a 19,2,Varón/Masculino,48
63570201,5,20 a 24,1,Mujer/Femenino,28
63570201,5,20 a 24,2,Varón/Masculino,32
63570201,6,25 a 29,1,Mujer/Femenino,40
63570201,6,25 a 29,2,Varón/Masculino,49
63570201,7,30 a 34,1,Mujer/Femenino,35
63570201,7,30 a 34,2,Varón/Masculino,42
63570201,8,35 a 39,1,Mujer/Femenino,36
63570201,8,35 a 39,2,Varón/Masculino,39
63570201,9,40 a 44,1,Mujer/Femenino,46
63570201,9,40 a 44,2,Varón/Masculino,37
63570201,10,45 a 49,1,Mujer/Femenino,59
63570201,10,45 a 49,2,Varón/Masculino,43
63570201,11,50 a 54,1,Mujer/Femenino,30
63570201,11,50 a 54,2,Varón/Masculino,41
63570201,12,55 a 59,1,Mujer/Femenino,22
63570201,12,55 a 59,2,Varón/Masculino,32
63570201,13,60 a 64,1,Mujer/Femenino,34
63570201,13,60 a 64,2,Varón/Masculino,25
63570201,14,65 a 69,1,Mujer/Femenino,25
63570201,14,65 a 69,2,Varón/Masculino,27
63570201,15,70 a 74,1,Mujer/Femenino,21
63570201,15,70 a 74,2,Varón/Masculino,18
63570201,16,75 a 79,1,Mujer/Femenino,12
63570201,16,75 a 79,2,Varón/Masculino,13
63570201,17,80 a 84,1,Mujer/Femenino,12
63570201,17,80 a 84,2,Varón/Masculino,4
63570201,18,85 a 89,1,Mujer/Femenino,6
63570201,18,85 a 89,2,Varón/Masculino,2
63570201,19,90 a 94,1,Mujer/Femenino,2
63570201,19,90 a 94,2,Varón/Masculino,1
63570202,1,00 a 04,1,Mujer/Femenino,20
63570202,1,00 a 04,2,Varón/Masculino,23
63570202,2,05 a 09,1,Mujer/Femenino,39
63570202,2,05 a 09,2,Varón/Masculino,37
63570202,3,10 a 14,1,Mujer/Femenino,45
63570202,3,10 a 14,2,Varón/Masculino,37
63570202,4,15 a 19,1,Mujer/Femenino,34
63570202,4,15 a 19,2,Varón/Masculino,42
63570202,5,20 a 24,1,Mujer/Femenino,36
63570202,5,20 a 24,2,Varón/Masculino,27
63570202,6,25 a 29,1,Mujer/Femenino,21
63570202,6,25 a 29,2,Varón/Masculino,20
63570202,7,30 a 34,1,Mujer/Femenino,9
63570202,7,30 a 34,2,Varón/Masculino,19
63570202,8,35 a 39,1,Mujer/Femenino,41
63570202,8,35 a 39,2,Varón/Masculino,36
63570202,9,40 a 44,1,Mujer/Femenino,44
63570202,9,40 a 44,2,Varón/Masculino,40
63570202,10,45 a 49,1,Mujer/Femenino,38
63570202,10,45 a 49,2,Varón/Masculino,35
63570202,11,50 a 54,1,Mujer/Femenino,46
63570202,11,50 a 54,2,Varón/Masculino,33
63570202,12,55 a 59,1,Mujer/Femenino,29
63570202,12,55 a 59,2,Varón/Masculino,34
63570202,13,60 a 64,1,Mujer/Femenino,31
63570202,13,60 a 64,2,Varón/Masculino,20
63570202,14,65 a 69,1,Mujer/Femenino,26
63570202,14,65 a 69,2,Varón/Masculino,34
63570202,15,70 a 74,1,Mujer/Femenino,29
63570202,15,70 a 74,2,Varón/Masculino,31
63570202,16,75 a 79,1,Mujer/Femenino,27
63570202,16,75 a 79,2,Varón/Masculino,21
63570202,17,80 a 84,1,Mujer/Femenino,8
63570202,17,80 a 84,2,Varón/Masculino,12
63570202,18,85 a 89,1,Mujer/Femenino,6
63570202,19,90 a 94,1,Mujer/Femenino,4
63570202,19,90 a 94,2,Varón/Masculino,4
63570202,20,95 a 99,1,Mujer/Femenino,1
63570203,1,00 a 04,1,Mujer/Femenino,14
63570203,1,00 a 04,2,Varón/Masculino,29
63570203,2,05 a 09,1,Mujer/Femenino,51
63570203,2,05 a 09,2,Varón/Masculino,39
63570203,3,10 a 14,1,Mujer/Femenino,43
63570203,3,10 a 14,2,Varón/Masculino,42
63570203,4,15 a 19,1,Mujer/Femenino,35
63570203,4,15 a 19,2,Varón/Masculino,46
63570203,5,20 a 24,1,Mujer/Femenino,30
63570203,5,20 a 24,2,Varón/Masculino,34
63570203,6,25 a 29,1,Mujer/Femenino,30
63570203,6,25 a 29,2,Varón/Masculino,25
63570203,7,30 a 34,1,Mujer/Femenino,28
63570203,7,30 a 34,2,Varón/Masculino,24
63570203,8,35 a 39,1,Mujer/Femenino,38
63570203,8,35 a 39,2,Varón/Masculino,31
63570203,9,40 a 44,1,Mujer/Femenino,41
63570203,9,40 a 44,2,Varón/Masculino,43
63570203,10,45 a 49,1,Mujer/Femenino,44
63570203,10,45 a 49,2,Varón/Masculino,39
63570203,11,50 a 54,1,Mujer/Femenino,38
63570203,11,50 a 54,2,Varón/Masculino,40
63570203,12,55 a 59,1,Mujer/Femenino,42
63570203,12,55 a 59,2,Varón/Masculino,34
63570203,13,60 a 64,1,Mujer/Femenino,26
63570203,13,60 a 64,2,Varón/Masculino,21
63570203,14,65 a 69,1,Mujer/Femenino,35
63570203,14,65 a 69,2,Varón/Masculino,19
63570203,15,70 a 74,1,Mujer/Femenino,28
63570203,15,70 a 74,2,Varón/Masculino,28
63570203,16,75 a 79,1,Mujer/Femenino,16
63570203,16,75 a 79,2,Varón/Masculino,14
63570203,17,80 a 84,1,Mujer/Femenino,12
63570203,17,80 a 84,2,Varón/Masculino,13
63570203,18,85 a 89,1,Mujer/Femenino,7
63570203,18,85 a 89,2,Varón/Masculino,2
63570203,19,90 a 94,1,Mujer/Femenino,3
63570203,19,90 a 94,2,Varón/Masculino,1
63570203,20,95 a 99,1,Mujer/Femenino,1
63570203,21,100 a 104,2,Varón/Masculino,1
63570204,1,00 a 04,1,Mujer/Femenino,13
63570204,1,00 a 04,2,Varón/Masculino,17
63570204,2,05 a 09,1,Mujer/Femenino,24
63570204,2,05 a 09,2,Varón/Masculino,20
63570204,3,10 a 14,1,Mujer/Femenino,27
63570204,3,10 a 14,2,Varón/Masculino,30
63570204,4,15 a 19,1,Mujer/Femenino,20
63570204,4,15 a 19,2,Varón/Masculino,31
63570204,5,20 a 24,1,Mujer/Femenino,18
63570204,5,20 a 24,2,Varón/Masculino,21
63570204,6,25 a 29,1,Mujer/Femenino,22
63570204,6,25 a 29,2,Varón/Masculino,16
63570204,7,30 a 34,1,Mujer/Femenino,21
63570204,7,30 a 34,2,Varón/Masculino,22
63570204,8,35 a 39,1,Mujer/Femenino,22
63570204,8,35 a 39,2,Varón/Masculino,19
63570204,9,40 a 44,1,Mujer/Femenino,27
63570204,9,40 a 44,2,Varón/Masculino,30
63570204,10,45 a 49,1,Mujer/Femenino,37
63570204,10,45 a 49,2,Varón/Masculino,24
63570204,11,50 a 54,1,Mujer/Femenino,27
63570204,11,50 a 54,2,Varón/Masculino,33
63570204,12,55 a 59,1,Mujer/Femenino,11
63570204,12,55 a 59,2,Varón/Masculino,16
63570204,13,60 a 64,1,Mujer/Femenino,16
63570204,13,60 a 64,2,Varón/Masculino,10
63570204,14,65 a 69,1,Mujer/Femenino,8
63570204,14,65 a 69,2,Varón/Masculino,8
63570204,15,70 a 74,1,Mujer/Femenino,8
63570204,15,70 a 74,2,Varón/Masculino,12
63570204,16,75 a 79,1,Mujer/Femenino,10
63570204,16,75 a 79,2,Varón/Masculino,6
63570204,17,80 a 84,1,Mujer/Femenino,3
63570204,17,80 a 84,2,Varón/Masculino,2
63570204,18,85 a 89,1,Mujer/Femenino,2
63570204,19,90 a 94,1,Mujer/Femenino,3
63570205,1,00 a 04,1,Mujer/Femenino,7
63570205,1,00 a 04,2,Varón/Masculino,12
63570205,2,05 a 09,1,Mujer/Femenino,26
63570205,2,05 a 09,2,Varón/Masculino,22
63570205,3,10 a 14,1,Mujer/Femenino,22
63570205,3,10 a 14,2,Varón/Masculino,27
63570205,4,15 a 19,1,Mujer/Femenino,23
63570205,4,15 a 19,2,Varón/Masculino,33
63570205,5,20 a 24,1,Mujer/Femenino,21
63570205,5,20 a 24,2,Varón/Masculino,39
63570205,6,25 a 29,1,Mujer/Femenino,20
63570205,6,25 a 29,2,Varón/Masculino,22
63570205,7,30 a 34,1,Mujer/Femenino,21
63570205,7,30 a 34,2,Varón/Masculino,20
63570205,8,35 a 39,1,Mujer/Femenino,19
63570205,8,35 a 39,2,Varón/Masculino,25
63570205,9,40 a 44,1,Mujer/Femenino,33
63570205,9,40 a 44,2,Varón/Masculino,25
63570205,10,45 a 49,1,Mujer/Femenino,33
63570205,10,45 a 49,2,Varón/Masculino,27
63570205,11,50 a 54,1,Mujer/Femenino,35
63570205,11,50 a 54,2,Varón/Masculino,33
63570205,12,55 a 59,1,Mujer/Femenino,33
63570205,12,55 a 59,2,Varón/Masculino,32
63570205,13,60 a 64,1,Mujer/Femenino,31
63570205,13,60 a 64,2,Varón/Masculino,22
63570205,14,65 a 69,1,Mujer/Femenino,31
63570205,14,65 a 69,2,Varón/Masculino,24
63570205,15,70 a 74,1,Mujer/Femenino,17
63570205,15,70 a 74,2,Varón/Masculino,14
63570205,16,75 a 79,1,Mujer/Femenino,18
63570205,16,75 a 79,2,Varón/Masculino,10
63570205,17,80 a 84,1,Mujer/Femenino,9
63570205,17,80 a 84,2,Varón/Masculino,6
63570205,18,85 a 89,1,Mujer/Femenino,7
63570205,18,85 a 89,2,Varón/Masculino,4
63570205,19,90 a 94,1,Mujer/Femenino,1
63570205,19,90 a 94,2,Varón/Masculino,2
63570205,20,95 a 99,2,Varón/Masculino,1
63570205,21,100 a 104,1,Mujer/Femenino,1
63570206,1,00 a 04,1,Mujer/Femenino,16
63570206,1,00 a 04,2,Varón/Masculino,16
63570206,2,05 a 09,1,Mujer/Femenino,23
63570206,2,05 a 09,2,Varón/Masculino,32
63570206,3,10 a 14,1,Mujer/Femenino,29
63570206,3,10 a 14,2,Varón/Masculino,24
63570206,4,15 a 19,1,Mujer/Femenino,36
63570206,4,15 a 19,2,Varón/Masculino,42
63570206,5,20 a 24,1,Mujer/Femenino,30
63570206,5,20 a 24,2,Varón/Masculino,37
63570206,6,25 a 29,1,Mujer/Femenino,20
63570206,6,25 a 29,2,Varón/Masculino,15
